"agent_A","agent_B","contact","date_start","date_stop","duration","dist_min","dist_mean","dist_max"
152,161,0,876,901,25,1.31,7.66,14.67
152,161,1,928,937,9,9.76,11.83,14.95
152,162,0,545,557,12,9.04,11.4,14.72
152,162,1,623,635,12,4.62,8.73,14.14
152,163,0,569,601,32,2.05,7.92,14.89
152,164,0,880,891,11,4.21,8.96,14.71
152,164,1,989,996,7,10.49,12.04,14.1
153,150,0,613,619,6,9.81,11.98,14.57
153,150,1,690,695,5,11.31,12.7,14.51
153,151,0,466,475,9,2.5,6.73,13.61
153,152,0,690,699,9,4.01,8.65,14.04
153,154,0,568,573,5,13.54,14.09,14.89
153,155,0,1002,1008,6,11.12,12.24,13.67
153,156,0,628,633,5,11.16,12.55,14.46
153,156,1,1000,1004,4,12.29,13.31,14.78
153,157,0,517,533,16,4.1,8.86,14.96
153,157,1,742,761,19,1.81,9.11,14.5
153,158,0,494,500,6,10.6,12.32,14.97
153,158,1,580,583,3,13.18,13.64,14.24
153,158,2,664,670,6,11.27,12.96,14.95
153,159,0,556,562,6,13.87,14.25,14.74
153,159,1,1045,1053,8,1.82,6.55,13.48
153,160,0,478,479,1,14.62,14.79,14.96
153,160,1,570,573,3,13.57,14.13,14.96
153,160,2,619,630,11,8.02,10.49,14.23
153,160,3,921,928,7,9.49,11.67,14.56
153,160,4,934,935,1,11.85,12.63,13.42
153,161,0,626,634,8,9,11.09,13.98
153,161,1,829,838,9,10.62,12.24,14.69
153,161,2,988,1000,12,4.24,8.86,13.73
153,162,0,503,511,8,1.97,7.96,14.14
153,162,1,683,691,8,2.77,8.22,14.94
153,162,2,864,872,8,5.49,9.77,14.67
153,162,3,1045,1051,6,9.72,11.71,14.77
153,164,0,474,477,3,13.82,14.31,14.9
153,164,1,549,556,7,3.25,8.07,13.99
153,164,2,703,711,8,1.59,8.28,14.69
154,153,0,568,573,5,13.54,14.09,14.89
154,155,0,428,446,18,9.05,12.04,14.54
154,156,0,734,757,23,3.45,8.21,14.31
154,156,1,809,819,10,9.89,11.31,13.76
154,158,0,892,903,11,13.76,14.15,14.77
154,158,1,910,924,14,9.47,11.48,14.59
154,160,0,564,576,12,4.65,8.53,13.35
154,161,0,704,705,1,14.98,14.98,14.98
154,162,0,790,803,13,3.78,8.48,14.71
154,162,1,986,1000,14,6.98,9.98,14.52
154,163,0,883,920,37,0.65,8.4,14.91
154,164,0,514,528,14,10.47,12.02,14.57
155,140,0,858,858,0,12.08,12.08,12.08
155,149,0,805,810,5,13.48,14.02,14.81
155,150,0,435,436,1,11.33,12.25,13.17
155,151,0,550,563,13,10.32,12.06,14.99
155,151,1,901,936,35,1.01,7.12,14.14
155,152,0,713,721,8,9.04,11.14,13.86
155,152,1,882,904,22,4.61,8.81,14.51
155,152,2,933,942,9,9.85,11.71,14.42
155,153,0,1002,1008,6,11.12,12.24,13.67
155,154,0,435,446,11,9.05,10.91,14.54
155,156,0,752,767,15,0.55,7.66,14.8
155,156,1,986,1007,21,6.02,9.4,14.28
155,156,2,1020,1034,14,11.2,12.62,14.79
155,157,0,594,617,23,4.86,8.9,14.45
155,157,1,975,981,6,11.46,12.87,14.99
155,158,0,541,554,13,0.57,7.44,14.3
155,158,1,723,736,13,5.26,9.47,14.88
155,159,0,545,562,17,8.56,11.05,14.86
155,159,1,572,579,7,8.96,10.73,13.08
155,160,0,508,511,3,12.98,13.69,14.72
155,160,1,581,588,7,5.28,9.29,14
155,161,0,678,685,7,7.58,10.63,14.79
155,161,1,876,960,84,3.39,9.51,14.86
155,162,0,691,699,8,2.01,7.9,14.01
155,162,1,776,780,4,4.59,7.31,11.78
155,164,0,537,545,8,12.06,13.09,14.86
155,164,1,875,875,0,14.51,14.51,14.51
155,164,2,879,892,13,6.79,10.06,14.69
156,150,0,492,499,7,8.02,10.43,13.68
156,150,1,580,588,8,2.79,7.63,12.64
156,150,2,945,950,5,10.69,12.3,13.97
156,153,0,628,633,5,11.16,12.55,14.46
156,153,1,1000,1004,4,12.29,13.31,14.78
156,154,0,734,757,23,3.45,8.21,14.31
156,154,1,809,819,10,9.89,11.31,13.76
156,155,0,752,767,15,0.55,7.66,14.8
156,155,1,986,1007,21,6.02,9.4,14.28
156,155,2,1020,1034,14,11.2,12.62,14.79
156,157,0,562,573,11,3.4,8.48,14.86
156,157,1,695,706,11,9.93,11.91,14.8
156,157,2,974,978,4,12.81,13.5,14.2
156,159,0,679,721,42,3.15,8.17,14.29
156,160,0,444,454,10,4.52,7.88,13.75
156,160,1,626,635,9,4.07,8.56,14.54
156,161,0,618,628,10,9.05,11.39,14.64
156,161,1,999,1027,28,0.92,9.28,14.97
156,162,0,948,954,6,5.8,9.05,12.85
156,164,0,573,609,36,0.44,7.43,14.49
157,150,0,543,552,9,2.01,7.46,13.48
157,150,1,773,776,3,5.03,8.87,12.79
157,152,0,480,484,4,6.28,10.24,14.25
157,153,0,517,533,16,4.1,8.86,14.96
157,153,1,742,761,19,1.81,9.39,14.57
157,155,0,594,617,23,4.86,8.9,14.45
157,155,1,975,981,6,11.46,12.87,14.99
157,156,0,562,573,11,3.4,8.48,14.86
157,156,1,695,706,11,9.93,11.91,14.8
157,156,2,974,978,4,12.81,13.5,14.2
157,158,0,1004,1017,13,1.38,7.01,13.24
157,159,0,692,705,13,1.06,7.64,14.22
157,159,1,880,899,19,3.28,8.18,14.31
157,160,0,884,898,14,2.81,7.85,13.61
157,161,0,506,515,9,6.27,10.09,14.92
157,162,0,514,516,2,14.48,14.66,14.89
157,163,0,1003,1013,10,1.16,7.63,14.95
157,163,1,1043,1050,7,3.86,9.28,14.89
158,150,0,714,724,10,1.16,7.9,14.66
158,151,0,782,820,38,6.33,9.44,14.96
158,151,1,975,996,21,1.15,7.84,14.8
158,152,0,969,981,12,2.78,7.95,13.73
158,153,0,494,500,6,10.6,12.32,14.97
158,153,1,580,583,3,13.18,13.64,14.24
158,153,2,664,670,6,11.27,12.96,14.95
158,154,0,892,903,11,13.76,14.15,14.77
158,154,1,910,924,14,9.47,11.48,14.59
158,155,0,541,554,13,0.57,7.44,14.3
158,155,1,723,736,13,5.26,9.47,14.88
158,157,0,1004,1018,14,1.38,7.48,14.03
158,159,0,426,436,10,2.5,7.59,13.72
158,159,1,516,550,34,0.74,7.49,14.43
158,159,2,601,607,6,13.49,14.08,14.9
158,159,3,858,862,4,14.55,14.68,14.87
158,160,0,735,745,10,9.55,11.56,14.39
158,160,1,802,825,23,0.75,7.58,14.51
158,160,2,865,874,9,9.62,11.27,13.62
158,161,0,642,658,16,2.15,7.93,14.7
158,163,0,497,499,2,14.53,14.7,14.99
158,163,1,893,938,45,3.03,8.3,14.89
158,163,2,1005,1014,9,4.19,8.15,12.85
158,163,3,1029,1048,19,6.92,9.97,14.47
158,164,0,430,443,13,11.8,12.9,14.63
158,164,1,536,546,10,1.28,7.85,14.79
158,164,2,635,644,9,4.93,8.99,13.6
158,164,3,734,739,5,12.7,13.53,14.74
159,150,0,642,659,17,10.15,11.88,14.84
159,150,1,1014,1030,16,5.01,9.04,14.55
159,151,0,566,638,72,2.57,8.21,14.93
159,153,0,556,562,6,13.87,14.25,14.74
159,155,0,545,562,17,8.56,11.05,14.86
159,155,1,572,579,7,8.96,10.73,13.08
159,156,0,679,721,42,3.15,8.17,14.29
159,157,0,692,705,13,1.06,7.64,14.22
159,157,1,880,899,19,3.28,8.18,14.31
159,158,0,516,550,34,0.74,7.49,14.43
159,158,1,601,607,6,13.49,14.08,14.9
159,158,2,858,862,4,14.55,14.68,14.87
159,160,0,482,488,6,12.04,12.99,14.5
159,160,1,878,902,24,0.84,7.41,14.3
159,163,0,481,493,12,6.6,9.85,14.2
159,163,1,769,783,14,0.26,7.29,13.88
159,164,0,538,551,13,3.74,8.28,13.84
160,83,0,973,994,21,4.02,8.79,14.96
160,150,0,609,615,6,9.31,11.06,13.2
160,151,0,807,822,15,8.68,11.16,14.96
160,153,0,478,479,1,14.62,14.79,14.96
160,153,1,570,573,3,13.57,14.13,14.96
160,153,2,619,630,11,8.02,10.49,14.23
160,153,3,921,928,7,9.49,11.86,14.56
160,153,4,934,935,1,11.85,12.63,13.42
160,154,0,564,576,12,4.65,8.53,13.35
160,155,0,508,511,3,12.98,13.69,14.72
160,155,1,581,588,7,5.28,9.29,14
160,156,0,626,635,9,4.07,8.56,14.54
160,157,0,884,898,14,2.81,7.85,13.61
160,158,0,735,745,10,9.55,11.56,14.39
160,158,1,802,825,23,0.75,7.58,14.51
160,158,2,865,874,9,9.62,11.27,13.62
160,159,0,482,488,6,12.04,12.99,14.5
160,159,1,878,902,24,0.84,7.41,14.3
160,161,0,622,627,5,11.12,12.42,14.02
160,163,0,477,486,9,2.19,7.8,14.18
160,163,1,694,703,9,4.89,9.46,14.83
160,163,2,842,860,18,3.08,7.34,14.07
161,151,0,895,930,35,0.27,7.95,14.33
161,152,0,876,901,25,1.31,7.66,14.67
161,152,1,928,937,9,9.76,11.83,14.95
161,153,0,626,634,8,9,11.09,13.98
161,153,1,829,838,9,10.62,12.24,14.69
161,153,2,988,1000,12,4.24,8.64,13.73
161,154,0,704,705,1,14.98,14.98,14.98
161,155,0,678,685,7,7.58,10.63,14.79
161,155,1,876,960,84,3.39,9.49,14.86
161,156,0,618,628,10,9.05,11.39,14.64
161,156,1,999,1027,28,0.92,9.19,14.97
161,157,0,506,515,9,6.27,10.09,14.92
161,158,0,642,658,16,2.15,8.02,14.7
161,160,0,622,627,5,11.12,12.42,14.02
161,162,0,480,504,24,12.13,13.68,14.95
161,162,1,846,853,7,9.38,11.35,14.03
161,163,0,510,523,13,3.02,8.27,14.49
161,164,0,629,636,7,13.2,13.74,14.49
161,164,1,878,892,14,0.25,7.95,14.94
162,150,0,643,646,3,13.66,14,14.37
162,150,1,699,705,6,14.17,14.41,14.77
162,152,0,545,557,12,9.04,11.4,14.72
162,152,1,623,635,12,4.62,8.73,14.14
162,153,0,503,511,8,1.97,7.96,14.14
162,153,1,683,691,8,2.77,8.22,14.94
162,153,2,864,872,8,5.49,9.77,14.67
162,153,3,1045,1051,6,9.72,11.71,14.77
162,154,0,790,803,13,3.78,8.48,14.71
162,154,1,986,1000,14,6.98,9.98,14.52
162,155,0,691,699,8,2.01,7.9,14.01
162,155,1,776,780,4,4.59,7.31,11.78
162,156,0,948,954,6,5.8,9.05,12.85
162,157,0,514,516,2,14.48,14.66,14.89
162,159,0,1048,1049,1,14.9,14.93,14.96
162,161,0,480,504,24,12.13,13.73,14.95
162,161,1,846,853,7,9.38,11.35,14.03
162,163,0,596,612,16,6.81,9.92,14.21
162,164,0,661,666,5,10.96,12.07,13.49
162,164,1,820,836,16,0.79,7.63,14.49
162,164,2,970,978,8,9.84,12.05,14.89
163,151,0,457,465,8,13.29,13.98,14.95
163,151,1,972,980,8,13.13,13.77,14.86
163,152,0,569,601,32,2.05,7.92,14.89
163,153,0,451,463,12,11.87,13.01,14.82
163,154,0,883,920,37,0.65,8.55,14.91
163,157,0,1003,1013,10,1.16,7.63,14.95
163,158,0,497,499,2,14.53,14.7,14.99
163,158,1,893,938,45,3.03,8.31,14.89
163,158,2,1005,1014,9,4.19,8.15,12.85
163,159,0,481,493,12,6.6,9.85,14.2
163,159,1,769,783,14,0.26,7.29,13.88
163,160,0,477,486,9,2.19,7.8,14.18
163,160,1,694,703,9,4.89,9.46,14.83
163,160,2,841,860,19,3.08,7.84,14.07
163,161,0,510,523,13,3.02,8.27,14.49
163,162,0,596,612,16,6.81,9.92,14.21
163,164,0,469,478,9,2.32,7.99,14.04
164,150,0,581,588,7,8.32,10.73,13.81
164,150,1,755,763,8,0.46,7.03,12.91
164,152,0,880,891,11,4.21,8.96,14.71
164,152,1,989,996,7,10.49,12.04,14.1
164,153,0,474,477,3,13.82,14.31,14.9
164,153,1,549,556,7,3.25,8.07,13.99
164,153,2,703,711,8,1.59,8.28,14.69
164,154,0,514,528,14,10.47,12.02,14.57
164,155,0,537,545,8,12.06,13.09,14.86
164,155,1,875,875,0,14.51,14.51,14.51
164,155,2,879,892,13,6.79,10.06,14.69
164,156,0,573,609,36,0.44,7.41,14.49
